Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",14.900000,9.200000,90.000000,top
"C2","22uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",23.000000,-0.350000,-90.000000,top
"C3","22uF","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",12.600000,9.837500,90.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",10.600000,-9.600000,180.000000,top
"D1","D_Zener","SOT-323_SC-70_Handsoldering",14.000000,-7.170000,-90.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",8.100000,9.225000,90.000000,top
"D3","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",21.000000,-4.850000,90.000000,top
"D4","1N4148W","D_SOD-123",13.500000,2.200000,180.000000,top
"D5","1N4148W","D_SOD-123",18.100000,-0.600000,-90.000000,top
"F1","1812L300MR","Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder",9.100000,4.075000,90.000000,top
"H5","MountingHole","JLCPCB-tooling-hole",0.000000,7.000000,0.000000,top
"H6","MountingHole","JLCPCB-tooling-hole",7.000000,-12.000000,0.000000,top
"H7","MountingHole","JLCPCB-tooling-hole",24.000000,-12.000000,0.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",0.900000,0.000000,-90.000000,top
"R1","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",7.700000,-6.650000,-90.000000,top
"R2","5.1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",11.550000,-6.600000,-90.000000,top
"R3","4.7K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",15.800000,-1.100000,-90.000000,top
"R4","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",10.200000,9.225000,90.000000,top
"R5","100","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",23.100000,-5.700000,90.000000,top
"R6","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",12.100000,5.300000,-90.000000,top
"R7","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",20.700000,0.300000,-90.000000,top
"R8","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",15.000000,5.300000,-90.000000,top
"U1","LM393","SOIC-8_3.9x4.9mm_P1.27mm",11.000000,-1.900000,0.000000,top
"U2","SiP32509","TSOT-23-6_HandSoldering",21.390000,4.050000,180.000000,top
